ngram,cumshare
the,0.051
of,0.079
and,0.104
to,0.126
a,0.143
in,0.160
that,0.169
is,0.177
for,0.185
I,0.192
it,0.198
was,0.205
as,0.211
not,0.217
with,0.223
he,0.229
on,0.234
you,0.239
be,0.244
his,0.248
this,0.252
by,0.256
or,0.260
are,0.264
at,0.268
her,0.271
from,0.275
she,0.278
had,0.282
but,0.285
have,0.288
an,0.291
they,0.294
we,0.296
were,0.298
one,0.301
all,0.303
can,0.305
which,0.307
their,0.309
my,0.311
if,0.313
what,0.315
do,0.317
there,0.319
when,0.321
would,0.323
him,0.324
so,0.326
more,0.328
me,0.329
will,0.331
been,0.333
out,0.334
up,0.336
about,0.337
who,0.339
has,0.340
no,0.342
into,0.343
time,0.345
other,0.346
them,0.347
your,0.349
said,0.350
could,0.351
did,0.352
then,0.354
some,0.355
these,0.356
also,0.357
like,0.358
than,0.360
its,0.361
may,0.362
only,0.363
see,0.364
new,0.365
how,0.366
two,0.367
such,0.368
over,0.369
our,0.370
first,0.371
any,0.372
just,0.373
after,0.374
back,0.375
now,0.376
through,0.376
even,0.377
people,0.378
where,0.379
well,0.380
most,0.380
between,0.381
way,0.382
because,0.383
know,0.384
should,0.384
before,0.385
many,0.386
down,0.386
very,0.387
made,0.388
life,0.388
work,0.389
those,0.390
us,0.390
here,0.391
get,0.392
use,0.392
make,0.393
being,0.394
good,0.394
much,0.395
each,0.395
both,0.396
man,0.397
right,0.397
while,0.398
used,0.398
world,0.399
same,0.400
must,0.400
long,0.401
go,0.401
years,0.402
still,0.402
day,0.403
own,0.403
does,0.404
too,0.404
under,0.405
take,0.405
another,0.406
part,0.406
state,0.407
little,0.407
however,0.408
off,0.408
three,0.409
around,0.409
think,0.410
need,0.410
never,0.411
come,0.411
might,0.412
different,0.412
again,0.413
without,0.413
God,0.414
system,0.414
going,0.414
want,0.415
hand,0.415
social,0.416
during,0.416
place,0.417
thought,0.417
against,0.418
something,0.418
found,0.418
high,0.419
case,0.419
say,0.420
why,0.420
away,0.420
information,0.421
head,0.421
within,0.422
let,0.422
eyes,0.422
number,0.423
left,0.423
old,0.424
every,0.424
great,0.424
example,0.425
since,0.425
data,0.425
came,0.426
men,0.426
set,0.427
look,0.427
children,0.427
water,0.428
university,0.428
few,0.428
face,0.429
research,0.429
chapter,0.429
small,0.430
things,0.430
year,0.431
based,0.431
find,0.431
end,0.432
human,0.432
last,0.432
home,0.433
always,0.433
power,0.433
asked,0.434
figure,0.434
often,0.434
order,0.435
family,0.435
important,0.435
using,0.436
women,0.436
process,0.436
house,0.437
point,0.437
though,0.437
law,0.438
took,0.438
states,0.438
called,0.439
looked,0.439
second,0.439
public,0.440
given,0.440
got,0.440
help,0.441
once,0.441
body,0.441
until,0.442
change,0.442
put,0.442
development,0.443
went,0.443
room,0.443
group,0.444
next,0.444
general,0.444
love,0.444
am,0.445
form,0.445
side,0.445
following,0.446
give,0.446
large,0.446
less,0.447
told,0.447
better,0.447
knew,0.447
yet,0.448
table,0.448
control,0.448
upon,0.449
later,0.449
study,0.449
others,0.449
himself,0.450
school,0.450
press,0.450
war,0.451
rather,0.451
best,0.451
government,0.451
book,0.452
American,0.452
person,0.452
business,0.453
nothing,0.453
tell,0.453
fact,0.453
mind,0.454
although,0.454
really,0.454
level,0.454
early,0.455
father,0.455
national,0.455
political,0.456
name,0.456
shall,0.456
thus,0.456
felt,0.457
words,0.457
enough,0.457
among,0.457
seen,0.458
far,0.458
course,0.458
night,0.458
health,0.459
history,0.459
making,0.459
together,0.460
open,0.460
times,0.460
possible,0.460
door,0.461
value,0.461
mother,0.461
young,0.461
several,0.462
model,0.462
self,0.462
light,0.462
four,0.463
days,0.463
care,0.463
become,0.463
thing,0.464
having,0.464
saw,0.464
ever,0.464
least,0.465
whether,0.465
international,0.465
white,0.465
woman,0.466
section,0.466
sure,0.466
wanted,0.466
means,0.467
turned,0.467
including,0.467
already,0.467
done,0.467
along,0.468
whole,0.468
across,0.468
question,0.468
known,0.469
black,0.469
feel,0.469
rights,0.469
analysis,0.470
city,0.470
heart,0.470
support,0.470
child,0.470
present,0.471
able,0.471
almost,0.471
line,0.471
keep,0.472
act,0.472
hands,0.472
above,0.472
problem,0.473
anything,0.473
further,0.473
either,0.473
area,0.473
sense,0.474
common,0.474
real,0.474
local,0.474
low,0.474
taken,0.475
experience,0.475
behind,0.475
moment,0.475
full,0.476
free,0.476
education,0.476
management,0.476
looking,0.476
yes,0.477
show,0.477
service,0.477
therefore,0.477
students,0.477
nature,0.478
death,0.478
studies,0.478
five,0.478
learning,0.478
knowledge,0.479
word,0.479
company,0.479
voice,0.479
economic,0.479
energy,0.480
country,0.480
past,0.480
mean,0.480
air,0.481
kind,0.481
began,0.481
hard,0.481
type,0.481
society,0.482
view,0.482
results,0.482
particular,0.482
language,0.482
half,0.483
working,0.483
role,0.483
certain,0.483
food,0.483
due,0.483
effect,0.484
court,0.484
call,0.484
policy,0.484
true,0.484
individual,0.485
party,0.485
money,0.485
result,0.485
risk,0.485
age,0.486
gave,0.486
approach,0.486
doing,0.486
per,0.486
systems,0.487
community,0.487
action,0.487
seemed,0.487
front,0.487
available,0.488
matter,0.488
close,0.488
provide,0.488
specific,0.488
terms,0.488
held,0.489
idea,0.489
English,0.489
toward,0.489
period,0.489
theory,0.490
everything,0.490
heard,0.490
interest,0.490
term,0.490
non,0.491
short,0.491
perhaps,0.491
class,0.491
needed,0.491
became,0.491
space,0.492
function,0.492
century,0.492
future,0.492
journal,0.492
evidence,0.492
land,0.493
rate,0.493
practice,0.493
believe,0.493
itself,0.493
someone,0.494
position,0.494
field,0.494
third,0.494
single,0.494
according,0.494
patients,0.495
clear,0.495
especially,0.495
blood,0.495
understand,0.495
turn,0.496
big,0.496
themselves,0.496
quite,0.496
report,0.496
says,0.496
treatment,0.497
reason,0.497
cases,0.497
market,0.497
services,0.497
office,0.497
taking,0.498
members,0.498
related,0.498
story,0.498
read,0.498
soon,0.498
king,0.499
problems,0.499
similar,0.499
major,0.499
include,0.499
higher,0.499
changes,0.500
finally,0.500
outside,0.500
groups,0.500
church,0.500
various,0.500
instead,0.501
living,0.501
leave,0.501
inside,0.501
top,0.501
south,0.501
relationship,0.502
conditions,0.502
started,0.502
sometimes,0.502
required,0.502
today,0.502
science,0.502
questions,0.503
total,0.503
shown,0.503
effects,0.503
current,0.503
subject,0.503
else,0.504
project,0.504
force,0.504
structure,0.504
play,0.504
ways,0.504
usually,0.505
method,0.505
natural,0.505
performance,0.505
son,0.505
design,0.505
brought,0.505
considered,0.506
main,0.506
lord,0.506
likely,0.506
red,0.506
review,0.506
ask,0.507
needs,0.507
test,0.507
probably,0.507
thinking,0.507
production,0.507
response,0.507
key,0.508
live,0.508
building,0.508
necessary,0.508
answer,0.508
plan,0.508
personal,0.508
culture,0.509
ground,0.509
program,0.509
morning,0.509
values,0.509
late,0.509
attention,0.510
herself,0.510
oh,0.510
strong,0.510
move,0.510
talk,0.510
security,0.510
cell,0.511
trying,0.511
makes,0.511
return,0.511
note,0.511
longer,0.511
understanding,0.511
start,0.512
run,0.512
associated,0.512
special,0.512
job,0.512
physical,0.512
north,0.512
lot,0.513
coming,0.513
maybe,0.513
feet,0.513
countries,0.513
account,0.513
cost,0.513
whose,0.514
series,0.514
growth,0.514
activity,0.514
rest,0.514
car,0.514
lost,0.514
art,0.515
alone,0.515
potential,0.515
cause,0.515
getting,0.515
decision,0.515
issues,0.515
friends,0.516
increase,0.516
myself,0.516
minutes,0.516
near,0.516
hours,0.516
provided,0.516
stood,0.517
material,0.517
lower,0.517
actually,0.517
patient,0.517
quality,0.517
simply,0.517
content,0.518
source,0.518
paper,0.518
step,0.518
significant,0.518
surface,0.518
hair,0.518
six,0.518
areas,0.519
deep,0.519
fire,0.519
bed,0.519
hear,0.519
central,0.519
friend,0.519
towards,0.520
sound,0.520
try,0.520
financial,0.520
tried,0.520
beyond,0.520
dark,0.520
cultural,0.521
stop,0.521
range,0.521
size,0.521
percent,0.521
girl,0.521
remember,0.521
disease,0.521
situation,0.522
continued,0.522
seems,0.522
middle,0.522
indeed,0.522
private,0.522
gone,0.522
population,0.522
months,0.523
cells,0.523
activities,0.523
difficult,0.523
followed,0.523
Jesus,0.523
parents,0.523
pain,0.524
sat,0.524
described,0.524
British,0.524
bring,0.524
wife,0.524
earth,0.524
everyone,0.524
property,0.525
image,0.525
consider,0.525
levels,0.525
bad,0.525
hope,0.525
amount,0.525
below,0.525
center,0.526
writing,0.526
written,0.526
modern,0.526
dead,0.526
addition,0.526
arms,0.526
greater,0.526
technology,0.527
truth,0.527
access,0.527
poor,0.527
movement,0.527
shows,0.527
hold,0.527
feeling,0.527
focus,0.528
European,0.528
music,0.528
road,0.528
increased,0.528
simple,0.528
street,0.528
resources,0.528
nor,0.528
global,0.529
text,0.529
lead,0.529
kept,0.529
factors,0.529
training,0.529
trade,0.529
department,0.529
environment,0.530
town,0.530
methods,0.530
developed,0.530
news,0.530
led,0.530
involved,0.530
particularly,0.530
quickly,0.531
moved,0.531
books,0.531
positive,0.531
standard,0.531
reading,0.531
west,0.531
forward,0.531
pressure,0.532
mouth,0.532
military,0.532
create,0.532
medical,0.532
legal,0.532
application,0.532
organization,0.532
bit,0.532
loss,0.533
context,0.533
behavior,0.533
team,0.533
foreign,0.533
wall,0.533
forms,0.533
works,0.533
meet,0.533
rule,0.534
happened,0.534
effective,0.534
events,0.534
whom,0.534
complex,0.534
met,0.534
product,0.534
issue,0.535
reached,0.535
walked,0.535
points,0.535
impact,0.535
added,0.535
follow,0.535
sent,0.535
rules,0.535
lives,0.536
influence,0.536
cut,0.536
green,0.536
expression,0.536
earlier,0.536
media,0.536
generally,0.536
floor,0.536
individuals,0.537
purpose,0.537
pay,0.537
ten,0.537
America,0.537
stay,0.537
final,0.537
comes,0.537
types,0.537
wrong,0.538
complete,0.538
ready,0.538
normal,0.538
basis,0.538
list,0.538
presence,0.538
stage,0.538
critical,0.538
twenty,0.539
seem,0.539
French,0.539
difference,0.539
meaning,0.539
anyone,0.539
sea,0.539
saying,0.539
cold,0.539
basic,0.540
direct,0.540
beginning,0.540
received,0.540
week,0.540
fear,0.540
expected,0.540
price,0.540
cross,0.540
capital,0.540
police,0.541
China,0.541
respect,0.541
spirit,0.541
clearly,0.541
fine,0.541
president,0.541
opened,0.541
religious,0.541
east,0.542
limited,0.542
additional,0.542
post,0.542
boy,0.542
page,0.542
ability,0.542
speak,0.542
brother,0.542
income,0.542
defined,0.543
letter,0.543
parts,0.543
share,0.543
easy,0.543
eye,0.543
products,0.543
processes,0.543
river,0.543
choice,0.544
recent,0.544
pulled,0.544
published,0.544
date,0.544
network,0.544
created,0.544
deal,0.544
wide,0.544
object,0.544
game,0.545
federal,0.545
meeting,0.545
fall,0.545
bank,0.545
blue,0.545
smile,0.545
directly,0.545
passed,0.545
region,0.545
site,0.546
skin,0.546
allow,0.546
reported,0.546
solution,0.546
established,0.546
sir,0.546
authority,0.546
provides,0.546
phone,0.546
appropriate,0.547
primary,0.547
despite,0.547
brain,0.547
memory,0.547
mark,0.547
original,0.547
direction,0.547
hour,0.547
oil,0.547
box,0.548
distance,0.548
learn,0.548
arm,0.548
except,0.548
status,0.548
communication,0.548
flow,0.548
takes,0.548
member,0.548
closed,0.548
ago,0.549
die,0.549
elements,0.549
worked,0.549
please,0.549
window,0.549
contact,0.549
models,0.549
board,0.549
lines,0.549
ideas,0.550
average,0.550
yourself,0.550
species,0.550
college,0.550
standing,0.550
distribution,0.550
trust,0.550
heat,0.550
immediately,0.550
justice,0.551
included,0.551
throughout,0.551
sun,0.551
entire,0.551
army,0.551
condition,0.551
industry,0.551
tax,0.551
applied,0.551
volume,0.551
round,0.552
decided,0.552
add,0.552
meant,0.552
happy,0.552
whatever,0.552
stand,0.552
temperature,0.552
mass,0.552
discussion,0.552
weight,0.552
concept,0.553
costs,0.553
running,0.553
talking,0.553
features,0.553
million,0.553
environmental,0.553
moving,0.553
German,0.553
giving,0.553
association,0.554
placed,0.554
stopped,0.554
union,0.554
re,0.554
Europe,0.554
degree,0.554
identity,0.554
historical,0.554
negative,0.554
student,0.554
success,0.555
suddenly,0.555
offer,0.555
code,0.555
sleep,0.555
scale,0.555
character,0.555
clinical,0.555
staff,0.555
Christ,0.555
event,0.555
relations,0.556
western,0.556
changed,0.556
walk,0.556
wrote,0.556
workers,0.556
returned,0.556
politics,0.556
lack,0.556
multiple,0.556
certainly,0.556
faith,0.556
length,0.557
materials,0.557
march,0.557
previous,0.557
write,0.557
presented,0.557
phase,0.557
article,0.557
author,0.557
appear,0.557
literature,0.557
assessment,0.558
peace,0.558
husband,0.558
strength,0.558
forces,0.558
chance,0.558
onto,0.558
allowed,0.558
continue,0.558
sort,0.558
weeks,0.558
England,0.559
steps,0.559
task,0.559
miss,0.559
Christian,0.559
carried,0.559
civil,0.559
produced,0.559
address,0.559
numbers,0.559
differences,0.559
hundred,0.559
Bible,0.560
active,0.560
observed,0.560
nearly,0.560
computer,0.560
planning,0.560
brown,0.560
base,0.560
film,0.560
actions,0.560
beautiful,0.560
importance,0.560
traditional,0.561
appeared,0.561
died,0.561
waiting,0.561
hot,0.561
compared,0.561
June,0.561
former,0.561
develop,0.561
protection,0.561
explain,0.561
discussed,0.561
daily,0.562
determined,0.562
statement,0.562
practices,0.562
reference,0.562
unit,0.562
thank,0.562
seven,0.562
showed,0.562
easily,0.562
ones,0.562
exactly,0.562
smiled,0.563
ran,0.563
becomes,0.563
slowly,0.563
reality,0.563
sex,0.563
built,0.563
completely,0.563
neither,0.563
companies,0.563
fell,0.563
factor,0.563
skills,0.564
places,0.564
strategy,0.564
lady,0.564
breath,0.564
professional,0.564
wait,0.564
glass,0.564
born,0.564
drug,0.564
larger,0.564
safety,0.564
council,0.565
introduction,0.565
lived,0.565
none,0.565
functions,0.565
stress,0.565
raised,0.565
requirements,0.565
couple,0.565
obtained,0.565
failure,0.565
properties,0.565
sources,0.566
search,0.566
highly,0.566
mental,0.566
baby,0.566
committee,0.566
daughter,0.566
internal,0.566
commission,0.566
master,0.566
agreement,0.566
opportunity,0.566
economy,0.567
examples,0.567
initial,0.567
programs,0.567
notes,0.567
determine,0.567
tree,0.567
lay,0.567
record,0.567
reasons,0.567
sister,0.567
independent,0.567
moral,0.567
Chinese,0.568
instance,0.568
India,0.568
path,0.568
begin,0.568
produce,0.568
relationships,0.568
gives,0.568
serious,0.568
paid,0.568
leaving,0.568
nodded,0.568
cover,0.568
freedom,0.569
July,0.569
manner,0.569
teaching,0.569
check,0.569
leading,0.569
sitting,0.569
require,0.569
cancer,0.569
investment,0.569
construction,0.569
useful,0.569
holding,0.570
reach,0.570
rose,0.570
covered,0.570
claim,0.570
growing,0.570
laws,0.570
picture,0.570
hospital,0.570
capacity,0.570
caused,0.570
notice,0.570
pretty,0.570
okay,0.571
learned,0.571
sign,0.571
appears,0.571
equal,0.571
thoughts,0.571
looks,0.571
fast,0.571
lips,0.571
measure,0.571
filled,0.571
rise,0.571
older,0.571
rates,0.572
girls,0.572
desire,0.572
proposed,0.572
fully,0.572
popular,0.572
parties,0.572
measures,0.572
schools,0.572
sorry,0.572
female,0.572
offered,0.572
remain,0.572
caught,0.572
sexual,0.573
exercise,0.573
exchange,0.573
setting,0.573
otherwise,0.573
watch,0.573
wish,0.573
gas,0.573
heavy,0.573
plant,0.573
noted,0.573
hall,0.573
avoid,0.573
spent,0.574
nation,0.574
evening,0.574
relation,0.574
principles,0.574
families,0.574
spoke,0.574
follows,0.574
African,0.574
safe,0.574
soul,0.574
sample,0.574
administration,0.574
drive,0.575
benefits,0.575
